Frequency (Hz),Sennheiser HD600,Sennheiser HD660S,Audeze MM500,Focal Utopia 2022,Focal Radiance,Audeze LCD-XC
20,54.324,49.567,89.153,83.458,66.415,83.789
21.200001,55.119,50.298,89.202,81.076,66.532,83.884
22.4,55.674,51.027,89.232,80.495,66.601,83.916
23.6,56.048,51.788,89.247,80.531,66.589,84.007
25,56.426,52.612,89.291,80.675,66.475,84.211
26.5,56.844,53.256,89.381,80.873,66.238,84.629
28,57.214,53.744,89.569,81.081,65.885,85.425
30,57.598,54.305,89.97,81.341,65.269,86.218
31.5,57.872,54.687,90.223,81.514,64.737,86.03
33.5,58.171,55.175,90.417,81.746,63.991,85.607
35.5,58.415,55.638,90.482,81.968,63.496,85.634
37.5,58.618,56.049,90.511,82.168,63.628,85.591
40,58.818,56.508,90.552,82.413,64.492,85.533
42.5,59.055,56.885,90.645,82.644,65.486,85.631
45,59.23,57.184,90.718,82.861,66.121,85.702
47.5,59.311,57.42,90.777,83.078,66.269,85.649
50,59.389,57.598,90.89,83.292,66.051,85.632
53,59.473,57.735,91.034,83.548,65.51,85.722
56,59.466,57.778,91.077,83.808,64.903,85.801
60,59.411,57.827,91.044,84.144,64.892,85.938
63,59.543,57.998,91.049,84.366,65.422,86.068
67,59.92,58.392,91.119,84.634,66.239,86.223
71,60.24,58.77,91.158,84.888,66.869,86.328
75,60.43,59.03,91.139,85.117,67.272,86.419
80,60.566,59.337,91.096,85.392,67.513,86.514
85,60.65,59.693,91.078,85.668,67.498,86.592
90,60.679,60.007,91.045,85.968,67.282,86.662
95,60.706,60.244,91.01,86.283,66.958,86.678
100,60.764,60.413,90.999,86.588,66.561,86.664
106,60.803,60.574,90.997,86.936,66.005,86.651
112,60.783,60.711,90.997,87.252,65.445,86.624
118,60.724,60.832,90.999,87.537,64.997,86.569
125,60.685,60.951,91.009,87.852,64.533,86.506
132,60.673,61.041,91.025,88.127,63.938,86.436
140,60.639,61.181,91.034,88.347,63.092,86.364
150,60.555,61.345,91.067,88.545,61.963,86.31
160,60.481,61.41,91.084,88.726,60.885,86.258
170,60.399,61.369,91.091,88.878,59.989,86.177
180,60.323,61.266,91.121,89.03,59.394,86.067
190,60.271,61.239,91.165,89.187,59.052,85.935
200,60.235,61.261,91.206,89.298,58.922,85.794
212,60.168,61.301,91.253,89.346,58.937,85.637
224,60.133,61.352,91.293,89.328,59.075,85.488
236,60.123,61.384,91.35,89.255,59.27,85.35
250,60.098,61.393,91.423,89.129,59.483,85.196
265,60.032,61.393,91.492,88.967,59.634,85.02
280,59.992,61.387,91.536,88.774,59.772,84.835
300,59.95,61.353,91.59,88.494,59.991,84.576
315,59.893,61.325,91.606,88.314,60.142,84.401
335,59.855,61.282,91.589,88.13,60.27,84.199
355,59.85,61.239,91.516,87.975,60.369,84.001
375,59.855,61.216,91.383,87.851,60.511,83.795
400,59.899,61.205,91.148,87.747,60.681,83.551
425,59.965,61.182,90.93,87.676,60.715,83.346
450,59.99,61.176,90.81,87.607,60.737,83.188
475,60.024,61.211,90.848,87.537,60.847,83.088
500,60.1,61.253,91.022,87.467,60.924,83.081
530,60.208,61.295,91.325,87.402,60.953,83.208
560,60.313,61.344,91.662,87.359,61.02,83.433
600,60.439,61.375,92.081,87.333,61.176,83.802
630,60.503,61.376,92.326,87.333,61.301,84.108
670,60.496,61.325,92.544,87.356,61.44,84.511
710,60.465,61.364,92.643,87.453,61.582,84.859
750,60.574,61.585,92.663,87.619,61.748,85.124
800,60.908,61.832,92.629,87.898,61.979,85.354
850,61.336,62.009,92.491,88.198,62.207,85.621
900,61.737,62.221,92.342,88.462,62.398,85.957
950,62.085,62.444,92.357,88.679,62.544,86.251
1000,62.421,62.671,92.508,88.869,62.664,86.463
1060,62.827,62.993,92.788,89.103,62.788,86.817
1120,63.196,63.353,93.186,89.354,62.852,87.398
1180,63.52,63.721,93.62,89.57,62.852,88.01
1250,63.884,64.129,94.01,89.604,62.925,88.536
1320,64.261,64.446,94.295,89.35,63.153,88.879
1400,64.564,64.628,94.555,88.977,63.545,89.163
1500,64.84,64.555,94.786,88.529,64.049,89.452
1600,65.391,64.277,94.941,87.724,64.614,89.657
1700,65.889,64.277,95.199,86.651,65.383,90.171
1800,66.286,64.738,95.482,85.682,66.277,91.019
1900,66.611,65.165,95.715,84.978,66.965,91.661
2000,66.974,65.387,96.002,84.534,67.27,91.987
2120,67.632,65.615,96.636,84.449,67.335,92.178
2240,68.448,66.157,97.617,84.687,67.661,92.223
2360,69.209,67.045,98.741,85.209,68.337,92.223
2500,69.948,67.917,100.026,86.021,69.293,92.389
2650,70.631,68.348,101.129,86.731,70.111,92.592
2800,71.184,68.578,101.878,87.084,70.592,92.529
3000,71.608,68.77,102.275,87.078,70.71,92.128
3150,71.618,68.689,102.204,86.864,70.084,91.73
3350,71.185,68.195,101.709,86.27,68.819,91.063
3550,70.187,67.686,100.659,85.33,68.375,89.996
3750,68.849,67.562,99.184,85.061,66.97,88.596
4000,67.924,67.22,97.221,85.454,64.784,86.897
4250,67.917,66.155,95.665,85.263,64.463,85.733
4500,67.762,64.794,95.168,84.705,65.143,85.756
4750,67.361,64.26,95.683,84.419,65.063,88.68
5000,67.233,64.815,96.346,84.505,65.046,92.045
5300,67.256,65.475,96.216,84.807,66.017,93.896
5600,66.104,65.4,95.5,85.485,67.136,94.068
6000,62.974,63.987,94.454,85.73,66.827,93.085
6300,61.205,61.964,93.994,84.441,65.259,91.551
6700,61.678,59.774,93.469,82.201,63.602,89.182
7100,62.627,59.576,92.825,82.28,63.279,87.765
7500,62.175,59.532,92.148,83.325,63.57,87.74
8000,59.692,58.833,90.537,82.641,63.021,87.815
8500,57.034,57.128,87.331,79.903,60.244,85.838
9000,58.24,53.922,82.846,78.246,57.191,82.346
9500,60.058,51.374,80.247,78.112,55.557,80.721
10000,59.751,53.113,81.704,77.783,54.633,81.72
10600,57.831,54.831,83.132,80.619,56.577,84.143
11200,56.209,54.387,82.486,83.876,58.873,86.154
11800,55.976,52.713,81.98,84.613,61.532,87.209
12500,56.066,52.674,82.427,83.006,63.109,87.547
13200,54.566,53.337,82.286,81.265,61.413,86.917
14000,52.831,51.876,82.442,82.272,56.669,85.527
15000,57.735,48.207,85.421,87.088,52.66,86.059
16000,59.833,48.709,88.166,89.892,56.066,87.8
17000,57.708,51.121,88.027,90.773,57.813,88.354
18000,53.457,51.746,85.667,91.181,57.114,87.381
19000,51.131,51.526,82.793,90.543,56.191,85.346
20000,50.586,51.24,80.971,86.869,55.875,82.916
